Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1000163,Multifamily residential,1/1/17,4,"$4,237,270.16 ",4.46%,"$7,062,116.94 ","$622,878.71 ",3.3,120,37,31%,2007,0
Commercial Real Estate,ABC1000164,Multifamily residential,1/1/18,4,"$13,811,881.63 ",5.76%,"$28,187,513.53 ","$1,868,832.15 ",2.35,180,58,11%,2005,0
Commercial Real Estate,ABC1000165,Retail space,1/1/11,6,"$3,685,150.46 ",5.90%,"$6,141,917.43 ","$454,501.89 ",2.09,60,11,7%,1995,0
Commercial Real Estate,ABC1000166,Multifamily residential,1/1/18,8,"$9,445,382.03 ",5.63%,"$12,938,879.49 ","$1,141,209.17 ",2.15,60,55,5%,1995,1
Commercial Real Estate,ABC1000167,Multifamily residential,1/1/15,11,"$2,516,627.28 ",4.87%,"$3,069,057.66 ","$122,762.31 ",1,120,103,6%,2002,0
Commercial Real Estate,ABC1000168,Multifamily residential,1/1/18,9,"$3,715,339.12 ",4.49%,"$4,825,115.74 ","$289,506.94 ",1.74,180,177,11%,2004,0
Commercial Real Estate,ABC1000169,Retail space,1/1/11,6,"$10,974,466.24 ",5.35%,"$19,953,574.99 ","$1,055,544.12 ",1.8,60,16,9%,2006,0
Commercial Real Estate,ABC1000170,Multifamily residential,1/1/16,7,"$5,059,754.91 ",5.34%,"$7,905,867.04 ","$554,991.87 ",2.05,60,54,15%,2006,0
Commercial Real Estate,ABC1000171,Retail space,1/1/12,6,"$9,591,324.28 ",5.38%,"$15,985,540.46 ","$1,269,251.91 ",2.46,60,3,2%,2002,0
Commercial Real Estate,ABC1000172,Retail space,1/1/15,7,"$6,735,419.04 ",4.67%,"$10,524,092.25 ","$719,847.91 ",2.29,60,53,10%,1995,0
Commercial Real Estate,ABC1000173,Retail space,1/1/14,9,"$7,310,482.33 ",5.87%,"$10,153,447.69 ","$758,462.54 ",1.77,120,60,12%,1997,0
Commercial Real Estate,ABC1000174,Retail space,1/1/17,7,"$805,269.70 ",4.13%,"$1,134,182.67 ","$82,114.83 ",2.47,120,56,5%,1996,0
Commercial Real Estate,ABC1000175,Office building,1/1/14,8,"$4,274,816.96 ",4.03%,"$6,894,866.07 ","$237,183.39 ",1.38,60,59,8%,2006,0
Commercial Real Estate,ABC1000176,Retail space,1/1/14,8,"$2,156,421.55 ",5.96%,"$3,783,195.69 ","$132,033.53 ",1.03,180,25,34%,2000,0
Commercial Real Estate,ABC1000177,Multifamily residential,1/1/15,9,"$421,833.48 ",5.82%,"$594,131.66 ","$31,191.91 ",1.27,120,32,4%,1996,0
Commercial Real Estate,ABC1000178,Retail space,1/1/15,7,"$607,229.67 ",5.79%,"$979,402.69 ","$55,434.19 ",1.58,120,28,32%,2000,0
Commercial Real Estate,ABC1000179,Retail space,1/1/11,5,"$4,373,877.89 ",5.50%,"$8,252,599.80 ","$550,448.41 ",2.29,180,140,8%,1995,0
Commercial Real Estate,ABC1000180,Retail space,1/1/16,9,"$3,132,027.23 ",4.59%,"$4,350,037.82 ","$185,311.61 ",1.29,60,21,13%,1997,1
Commercial Real Estate,ABC1000181,Office building,1/1/14,7,"$986,060.64 ",5.83%,"$1,565,175.62 ","$98,293.03 ",1.71,120,53,12%,2002,0
Commercial Real Estate,ABC1000182,Retail space,1/1/14,10,"$7,083,270.33 ",4.10%,"$8,854,087.91 ","$558,692.95 ",1.92,120,31,2%,2003,0
Commercial Real Estate,ABC1000183,Office building,1/1/15,6,"$1,078,045.07 ",4.48%,"$1,633,401.62 ","$132,795.55 ",2.75,60,42,6%,2009,0
Commercial Real Estate,ABC1000184,Retail space,1/1/18,8,"$4,426,641.48 ",5.60%,"$7,766,037.68 ","$246,183.39 ",0.99,60,56,33%,1998,0
Commercial Real Estate,ABC1000185,Office building,1/1/13,6,"$742,576.53 ",5.51%,"$1,160,275.83 ","$95,954.81 ",2.35,60,41,12%,2006,0
Commercial Real Estate,ABC1000186,Retail space,1/1/12,10,"$315,874.01 ",4.23%,"$464,520.61 ","$7,339.43 ",0.55,120,60,13%,2002,0
Commercial Real Estate,ABC1000187,Retail space,1/1/14,6,"$4,372,578.18 ",5.62%,"$7,052,545.45 ","$540,224.98 ",2.2,180,70,4%,2009,0
Commercial Real Estate,ABC1000188,Multifamily residential,1/1/12,8,"$697,853.62 ",4.22%,"$943,045.44 ","$59,506.17 ",2.02,120,99,9%,1999,0
Commercial Real Estate,ABC1000189,Office building,1/1/14,8,"$5,520,314.39 ",5.66%,"$7,360,419.19 ","$708,808.37 ",2.27,120,57,9%,2003,0
Commercial Real Estate,ABC1000190,Retail space,1/1/17,11,"$38,796,639.81 ",4.82%,"$57,905,432.55 ","($173,716.30)",-0.09,180,96,6%,2000,0
Commercial Real Estate,ABC1000191,Retail space,1/1/14,4,"$23,846,345.64 ",5.69%,"$44,993,104.99 ","$3,567,953.23 ",2.63,120,46,6%,2002,0
Commercial Real Estate,ABC1000192,Retail space,1/1/16,9,"$7,633,863.84 ",5.50%,"$10,178,485.12 ","$685,012.05 ",1.63,120,105,15%,1996,0
Commercial Real Estate,ABC1000193,Retail space,1/1/18,8,"$2,730,611.18 ",4.09%,"$4,075,539.08 ","$204,999.62 ",1.84,60,48,5%,2003,0
Commercial Real Estate,ABC1000194,Multifamily residential,1/1/12,7,"$1,294,185.44 ",4.74%,"$2,488,818.15 ","$78,397.77 ",1.28,120,106,13%,2008,0
Commercial Real Estate,ABC1000195,Office building,1/1/17,10,"$498,916.42 ",5.90%,"$656,468.97 ","$44,114.71 ",1.5,120,117,11%,1998,0
Commercial Real Estate,ABC1000196,Multifamily residential,1/1/17,6,"$7,359,712.93 ",5.49%,"$11,870,504.72 ","$1,044,604.42 ",2.59,120,7,13%,1999,0
Commercial Real Estate,ABC1000197,Multifamily residential,1/1/17,9,"$1,099,811.68 ",5.19%,"$1,718,455.74 ","$57,396.42 ",1.01,60,44,9%,2000,0
Commercial Real Estate,ABC1000198,Retail space,1/1/12,8,"$1,055,628.01 ",5.02%,"$1,353,369.24 ","$127,758.06 ",2.41,60,41,6%,2003,0
Commercial Real Estate,ABC1000199,Office building,1/1/13,7,"$3,079,975.01 ",4.36%,"$5,811,273.60 ","$183,055.12 ",1.36,120,20,3%,2008,0
Commercial Real Estate,ABC1000200,Retail space,1/1/12,7,"$2,519,617.36 ",4.43%,"$3,599,453.38 ","$265,999.60 ",2.38,60,13,9%,2006,0
Commercial Real Estate,ABC1000201,Office building,1/1/14,10,"$48,888,467.60 ",5.10%,"$67,900,649.44 ","$2,756,766.37 ",1.11,120,13,6%,2006,0
Commercial Real Estate,ABC1000202,Retail space,1/1/14,9,"$9,712,333.04 ",4.94%,"$13,489,351.45 ","$754,054.75 ",1.57,60,20,15%,1997,0
Commercial Real Estate,ABC1000203,Multifamily residential,1/1/18,10,"$20,606,708.44 ",5.49%,"$29,023,533.01 ","$1,056,456.60 ",0.93,120,57,15%,2001,1
Commercial Real Estate,ABC1000204,Multifamily residential,1/1/18,8,"$5,923,442.67 ",5.21%,"$9,112,988.72 ","$525,819.45 ",1.7,60,22,1%,2009,0
Commercial Real Estate,ABC1000205,Multifamily residential,1/1/12,9,"$1,091,203.39 ",5.48%,"$1,760,005.48 ","$55,440.17 ",0.93,60,36,4%,2001,0
Commercial Real Estate,ABC1000206,Retail space,1/1/15,4,"$1,432,518.73 ",5.14%,"$2,702,865.53 ","$222,986.41 ",3.03,120,106,4%,2008,1
Commercial Real Estate,ABC1000207,Multifamily residential,1/1/14,6,"$8,669,680.97 ",4.46%,"$15,209,966.61 ","$746,809.36 ",1.93,120,14,7%,2005,0
Commercial Real Estate,ABC1000208,Office building,1/1/14,8,"$646,623.33 ",5.53%,"$898,087.96 ","$73,283.98 ",2.05,60,32,10%,2000,0
Commercial Real Estate,ABC1000209,Retail space,1/1/15,6,"$13,664,186.16 ",5.87%,"$22,400,305.19 ","$1,798,744.51 ",2.24,60,33,31%,2002,0
Commercial Real Estate,ABC1000210,Multifamily residential,1/1/12,10,"$893,688.32 ",4.84%,"$1,117,110.39 ","$70,154.53 ",1.62,60,53,4%,2001,0
Commercial Real Estate,ABC1000211,Multifamily residential,1/1/17,10,"$5,804,656.61 ",5.31%,"$7,255,820.77 ","$462,921.36 ",1.5,120,56,6%,2009,0
Commercial Real Estate,ABC1000212,Retail space,1/1/15,7,"$1,665,721.18 ",4.83%,"$3,028,583.96 ","$123,263.37 ",1.53,120,98,1%,2005,0
Commercial Real Estate,ABC1000213,Office building,1/1/19,8,"$5,973,641.34 ",4.36%,"$7,467,051.68 ","$731,771.06 ",2.81,60,18,33%,2008,0
Commercial Real Estate,ABC1000214,Multifamily residential,1/1/18,10,"$2,356,590.88 ",5.46%,"$3,682,173.25 ","$58,914.77 ",0.46,60,57,4%,2001,0
Commercial Real Estate,ABC1000215,Multifamily residential,1/1/14,10,"$4,857,124.46 ",5.99%,"$6,071,405.57 ","$447,462.59 ",1.54,180,33,11%,2009,0
Commercial Real Estate,ABC1000216,Multifamily residential,1/1/14,7,"$3,547,765.98 ",5.58%,"$5,912,943.29 ","$324,620.59 ",1.64,180,145,8%,1997,0
Commercial Real Estate,ABC1000217,Multifamily residential,1/1/14,6,"$1,214,129.03 ",4.24%,"$1,927,188.94 ","$128,736.22 ",2.5,120,16,36%,2007,0
Commercial Real Estate,ABC1000218,Multifamily residential,1/1/12,8,"$2,765,477.92 ",5.73%,"$4,190,118.06 ","$284,509.02 ",1.8,180,153,2%,2002,0
Commercial Real Estate,ABC1000219,Office building,1/1/14,9,"$7,076,250.49 ",5.26%,"$10,561,567.90 ","$344,307.11 ",0.93,60,38,13%,2000,1
Commercial Real Estate,ABC1000220,Multifamily residential,1/1/18,6,"$2,130,400.70 ",4.12%,"$3,328,751.09 ","$231,681.08 ",2.64,60,34,33%,1997,0
Commercial Real Estate,ABC1000221,Office building,1/1/16,9,"$9,578,150.04 ",5.72%,"$13,490,352.17 ","$876,872.89 ",1.6,120,116,37%,2009,0
Commercial Real Estate,ABC1000222,Office building,1/1/15,7,"$22,976,073.60 ",4.16%,"$35,347,805.55 ","$1,749,716.37 ",1.83,120,106,39%,2009,0
Commercial Real Estate,ABC1000223,Retail space,1/1/12,8,"$2,909,691.83 ",4.00%,"$4,618,558.45 ","$128,857.78 ",1.11,60,8,12%,2000,0
Commercial Real Estate,ABC1000224,Retail space,1/1/18,7,"$4,412,857.44 ",4.31%,"$6,789,011.45 ","$435,175.63 ",2.29,120,12,10%,1999,0
Commercial Real Estate,ABC1000225,Multifamily residential,1/1/19,11,"$5,000,797.49 ",5.35%,"$5,953,330.34 ","$356,009.15 ",1.33,120,116,39%,2004,0
Commercial Real Estate,ABC1000226,Multifamily residential,1/1/15,9,"$1,224,784.05 ",5.77%,"$1,655,113.58 ","$130,422.95 ",1.85,60,44,32%,2009,0
Commercial Real Estate,ABC1000227,Retail space,1/1/14,9,"$2,193,749.30 ",4.20%,"$3,179,346.81 ","$137,347.78 ",1.49,120,100,4%,2005,0
Commercial Real Estate,ABC1000228,Office building,1/1/12,9,"$4,009,161.99 ",4.25%,"$5,206,703.89 ","$310,319.55 ",1.82,60,8,6%,1999,0
Commercial Real Estate,ABC1000229,Retail space,1/1/13,11,"$13,273,584.20 ",4.40%,"$16,802,005.32 ","$677,120.81 ",1.16,120,22,8%,2003,1
Commercial Real Estate,ABC1000230,Office building,1/1/18,9,"$1,719,215.02 ",4.93%,"$2,421,429.60 ","$115,986.48 ",1.37,120,26,36%,1998,0
Commercial Real Estate,ABC1000231,Retail space,1/1/19,6,"$31,043,821.13 ",4.53%,"$48,505,970.51 ","$3,390,567.34 ",2.41,180,70,10%,2007,0
Commercial Real Estate,ABC1000232,Multifamily residential,1/1/18,6,"$7,165,509.05 ",5.74%,"$11,942,515.09 ","$840,753.06 ",2.04,60,40,13%,2002,0
Commercial Real Estate,ABC1000233,Office building,1/1/18,9,"$5,826,897.24 ",5.45%,"$7,567,399.01 ","$574,365.59 ",1.81,60,7,4%,2006,1
Commercial Real Estate,ABC1000234,Retail space,1/1/18,9,"$1,463,169.41 ",5.14%,"$2,090,242.01 ","$117,471.60 ",1.56,120,6,7%,1999,0
Commercial Real Estate,ABC1000235,Multifamily residential,1/1/12,8,"$1,080,503.04 ",4.80%,"$1,662,312.36 ","$75,801.44 ",1.46,60,17,26%,2001,0
Commercial Real Estate,ABC1000236,Multifamily residential,1/1/14,10,"$44,635,602.18 ",4.26%,"$57,225,131.00 ","$2,517,905.76 ",1.32,120,70,5%,2008,0
Commercial Real Estate,ABC1000237,Multifamily residential,1/1/16,7,"$4,899,935.47 ",4.92%,"$6,901,317.57 ","$699,793.60 ",2.9,180,17,5%,1997,0
Commercial Real Estate,ABC1000238,Multifamily residential,1/1/18,7,"$2,779,615.33 ",5.80%,"$4,211,538.37 ","$368,930.76 ",2.29,60,24,7%,2007,0
Commercial Real Estate,ABC1000239,Multifamily residential,1/1/18,6,"$5,071,375.42 ",4.46%,"$7,802,116.04 ","$564,873.20 ",2.5,120,22,3%,1999,0
Commercial Real Estate,ABC1000240,Multifamily residential,1/1/19,8,"$2,308,606.21 ",5.12%,"$3,395,009.14 ","$228,144.61 ",1.93,120,110,3%,2006,0
Commercial Real Estate,ABC1000241,Retail space,1/1/17,5,"$722,653.72 ",4.07%,"$1,313,915.85 ","$77,126.86 ",2.62,120,52,5%,2002,0
Commercial Real Estate,ABC1000242,Multifamily residential,1/1/19,8,"$6,585,566.61 ",5.89%,"$11,759,940.38 ","$265,774.65 ",0.69,180,96,10%,2002,0
Commercial Real Estate,ABC1000243,Multifamily residential,1/1/13,7,"$6,690,058.14 ",5.56%,"$11,150,096.89 ","$545,239.74 ",1.47,60,52,7%,2009,0
Commercial Real Estate,ABC1000244,Office building,1/1/14,7,"$4,049,867.69 ",5.53%,"$7,231,906.58 ","$334,837.27 ",1.5,60,44,6%,2003,0
Commercial Real Estate,ABC1000245,Multifamily residential,1/1/18,8,"$2,368,212.53 ",5.98%,"$3,383,160.76 ","$275,050.97 ",1.94,120,87,3%,2002,0
Commercial Real Estate,ABC1000246,Multifamily residential,1/1/15,7,"$4,418,003.93 ",4.80%,"$7,012,704.65 ","$386,400.03 ",1.82,120,21,15%,1997,0
Commercial Real Estate,ABC1000247,Multifamily residential,1/1/19,9,"$4,221,344.25 ",5.60%,"$5,704,519.25 ","$345,693.87 ",1.46,60,52,5%,1999,0
Commercial Real Estate,ABC1000248,Retail space,1/1/17,7,"$4,299,751.36 ",4.83%,"$6,935,082.83 ","$439,684.25 ",2.12,120,80,4%,1998,0
Commercial Real Estate,ABC1000249,Retail space,1/1/11,9,"$2,037,589.11 ",5.07%,"$2,996,454.57 ","$124,652.51 ",1.21,60,29,3%,2007,0
Commercial Real Estate,ABC1000250,Retail space,1/1/11,7,"$2,254,946.72 ",5.18%,"$3,579,280.51 ","$209,029.98 ",1.79,60,35,9%,2001,1
Commercial Real Estate,ABC1000251,Multifamily residential,1/1/17,7,"$2,503,129.62 ",4.51%,"$4,037,305.84 ","$218,821.98 ",1.94,120,22,2%,2005,0
Commercial Real Estate,ABC1000252,Retail space,1/1/18,8,"$4,513,294.42 ",4.65%,"$6,447,563.46 ","$356,550.26 ",1.7,60,35,3%,2002,0
Commercial Real Estate,ABC1000253,Multifamily residential,1/1/15,7,"$5,878,700.53 ",4.86%,"$8,907,122.01 ","$693,864.80 ",2.43,180,82,6%,2005,0
Commercial Real Estate,ABC1000254,Multifamily residential,1/1/12,10,"$4,196,603.16 ",4.56%,"$6,082,033.56 ","$141,711.38 ",0.74,120,98,10%,2001,0
Commercial Real Estate,ABC1000255,Multifamily residential,1/1/14,8,"$2,336,524.78 ",4.93%,"$3,594,653.50 ","$146,661.86 ",1.27,60,24,13%,2005,0
Commercial Real Estate,ABC1000256,Multifamily residential,1/1/11,8,"$1,833,640.04 ",5.75%,"$2,619,485.78 ","$181,530.36 ",1.72,60,42,28%,1996,0
Commercial Real Estate,ABC1000257,Multifamily residential,1/1/15,7,"$3,587,250.82 ",4.68%,"$5,052,465.94 ","$403,692.03 ",2.4,60,33,26%,1999,0
Commercial Real Estate,ABC1000258,Multifamily residential,1/1/18,5,"$8,311,471.07 ",5.13%,"$13,192,811.22 ","$1,271,787.00 ",2.98,120,1,3%,1999,0
Commercial Real Estate,ABC1000259,Multifamily residential,1/1/16,9,"$6,576,533.13 ",5.37%,"$9,964,444.13 ","$372,670.21 ",1.06,60,16,7%,2003,0
Commercial Real Estate,ABC1000260,Multifamily residential,1/1/18,8,"$4,675,734.92 ",5.45%,"$6,876,080.77 ","$391,936.60 ",1.54,120,45,7%,2003,0
Commercial Real Estate,ABC1000261,Multifamily residential,1/1/17,10,"$31,205,506.44 ",5.84%,"$41,059,876.89 ","$2,541,606.38 ",1.39,60,13,39%,2004,1
Commercial Real Estate,ABC1000262,Multifamily residential,1/1/16,8,"$3,729,148.49 ",5.99%,"$5,252,321.81 ","$483,213.61 ",2.16,120,14,27%,2003,0
Commercial Real Estate,ABC1000263,Retail space,1/1/12,9,"$1,534,732.19 ",4.32%,"$1,942,698.97 ","$137,737.36 ",2.08,60,18,3%,1996,0
Commercial Real Estate,ABC1000264,Office building,1/1/15,11,"$5,965,902.93 ",4.64%,"$7,954,537.24 ","$135,227.13 ",0.49,60,1,9%,2005,1
Commercial Real Estate,ABC1000265,Retail space,1/1/12,7,"$3,568,616.74 ",4.54%,"$5,326,293.64 ","$357,394.30 ",2.21,120,58,37%,2001,0
Commercial Real Estate,ABC1000266,Multifamily residential,1/1/13,4,"$2,675,008.54 ",4.16%,"$4,314,529.91 ","$437,493.33 ",3.93,120,35,12%,2006,0
Commercial Real Estate,ABC1000267,Retail space,1/1/12,8,"$1,995,137.73 ",5.49%,"$2,733,065.39 ","$224,657.97 ",2.05,60,22,13%,2000,0
Commercial Real Estate,ABC1000268,Retail space,1/1/15,9,"$6,171,480.07 ",4.77%,"$8,120,368.51 ","$569,237.83 ",1.93,60,44,36%,2000,0
Commercial Real Estate,ABC1000269,Retail space,1/1/19,9,"$2,596,773.78 ",4.58%,"$3,509,153.76 ","$229,849.57 ",1.93,60,35,12%,2003,0
Commercial Real Estate,ABC1000270,Retail space,1/1/15,5,"$9,113,183.49 ",4.17%,"$14,939,645.07 ","$1,172,762.14 ",3.09,120,70,15%,1998,0
Commercial Real Estate,ABC1000271,Retail space,1/1/14,9,"$7,895,194.99 ",4.92%,"$10,669,182.42 ","$783,117.99 ",2.02,120,114,30%,2000,0
Commercial Real Estate,ABC1000272,Multifamily residential,1/1/18,10,"$11,974,484.78 ",5.52%,"$15,965,979.70 ","$825,441.15 ",1.25,60,19,11%,1999,1
Commercial Real Estate,ABC1000273,Multifamily residential,1/1/15,4,"$898,096.05 ",4.27%,"$1,522,196.69 ","$124,211.25 ",3.24,60,24,11%,2007,0
Commercial Real Estate,ABC1000274,Retail space,1/1/16,10,"$1,020,736.64 ",5.51%,"$1,570,364.07 ","$19,001.41 ",0.34,120,49,14%,2005,0
Commercial Real Estate,ABC1000275,Multifamily residential,1/1/14,8,"$5,784,146.28 ",5.34%,"$7,712,195.04 ","$812,865.36 ",2.63,60,37,5%,2002,0
Commercial Real Estate,ABC1000276,Retail space,1/1/12,11,"$11,074,887.09 ",4.44%,"$13,343,237.45 ","$699,185.64 ",1.42,60,19,6%,2003,0
Commercial Real Estate,ABC1000277,Retail space,1/1/14,8,"$5,316,622.81 ",5.31%,"$7,935,257.92 ","$484,844.26 ",1.72,60,5,14%,2002,0
Commercial Real Estate,ABC1000278,Retail space,1/1/15,7,"$1,065,878.60 ",5.15%,"$1,639,813.23 ","$129,217.28 ",2.35,60,37,8%,2009,0
Commercial Real Estate,ABC1000279,Multifamily residential,1/1/19,8,"$745,792.50 ",4.16%,"$1,080,858.69 ","$63,662.58 ",2.05,60,43,7%,1999,0
Commercial Real Estate,ABC1000280,Retail space,1/1/13,5,"$4,580,665.39 ",5.68%,"$8,981,696.84 ","$593,690.16 ",2.28,120,101,30%,2003,0
Commercial Real Estate,ABC1000281,Office building,1/1/14,6,"$2,847,630.43 ",5.10%,"$4,520,048.30 ","$360,699.85 ",2.48,60,16,8%,1998,0
Commercial Real Estate,ABC1000282,Retail space,1/1/18,8,"$5,339,999.93 ",4.75%,"$7,521,126.66 ","$470,822.53 ",1.86,180,64,10%,2008,1
Commercial Real Estate,ABC1000283,Retail space,1/1/17,9,"$14,668,762.92 ",4.29%,"$22,225,398.37 ","$793,446.72 ",1.26,60,42,5%,1996,0
Commercial Real Estate,ABC1000284,Multifamily residential,1/1/13,6,"$2,324,142.67 ",5.87%,"$4,557,142.49 ","$202,792.84 ",1.49,120,24,15%,2001,0
Commercial Real Estate,ABC1000285,Office building,1/1/18,5,"$2,080,656.85 ",5.97%,"$3,853,068.24 ","$259,311.49 ",2.09,60,20,28%,2002,0
Commercial Real Estate,ABC1000286,Retail space,1/1/14,10,"$132,283,893.42 ",4.54%,"$167,447,966.35 ","$8,606,825.47 ",1.43,180,54,3%,1997,0
Commercial Real Estate,ABC1000287,Retail space,1/1/12,9,"$16,507,912.56 ",5.75%,"$24,638,675.46 ","$995,402.49 ",1.05,60,40,6%,2002,0
Commercial Real Estate,ABC1000288,Retail space,1/1/18,8,"$1,289,115.48 ",4.65%,"$1,742,047.94 ","$129,782.57 ",2.17,180,168,8%,2004,0
Commercial Real Estate,ABC1000289,Retail space,1/1/16,10,"$916,281.05 ",5.87%,"$1,189,975.39 ","$72,707.50 ",1.35,60,52,13%,2007,0
Commercial Real Estate,ABC1000290,Multifamily residential,1/1/14,8,"$1,304,963.68 ",5.83%,"$1,891,251.71 ","$153,380.51 ",2.02,120,116,11%,1997,0
Commercial Real Estate,ABC1000291,Multifamily residential,1/1/15,7,"$2,826,893.52 ",4.82%,"$4,219,244.06 ","$323,194.09 ",2.37,60,3,32%,2002,0
Commercial Real Estate,ABC1000292,Multifamily residential,1/1/17,8,"$3,823,846.71 ",5.17%,"$6,069,597.95 ","$232,465.60 ",1.18,60,52,33%,2007,0
Commercial Real Estate,ABC1000293,Multifamily residential,1/1/19,10,"$11,198,799.66 ",5.00%,"$14,931,732.88 ","$754,052.51 ",1.35,120,41,39%,2006,0
Commercial Real Estate,ABC1000294,Multifamily residential,1/1/11,6,"$528,358.27 ",4.58%,"$926,944.34 ","$42,824.83 ",1.77,60,13,9%,1997,0
Commercial Real Estate,ABC1000295,Retail space,1/1/14,8,"$2,335,706.02 ",4.43%,"$3,649,540.65 ","$131,018.51 ",1.27,120,44,28%,1997,0
Commercial Real Estate,ABC1000296,Retail space,1/1/18,11,"$2,196,084.71 ",5.80%,"$2,815,493.21 ","$123,600.15 ",0.97,60,5,40%,2004,0
Commercial Real Estate,ABC1000297,Multifamily residential,1/1/18,10,"$1,934,617.24 ",5.25%,"$2,614,347.62 ","$110,064.03 ",1.08,60,7,11%,2007,1
Commercial Real Estate,ABC1000298,Retail space,1/1/16,9,"$3,130,995.01 ",4.72%,"$4,604,404.42 ","$171,283.84 ",1.16,120,4,4%,1995,0
Commercial Real Estate,ABC1000299,Office building,1/1/14,7,"$1,776,772.96 ",4.95%,"$2,692,080.25 ","$199,213.94 ",2.27,60,46,14%,2008,0
Commercial Real Estate,ABC1000300,Retail space,1/1/14,9,"$3,731,828.13 ",4.89%,"$5,331,183.04 ","$261,761.09 ",1.43,60,52,7%,1997,0
Commercial Real Estate,ABC1000301,Office building,1/1/17,6,"$2,524,160.91 ",4.41%,"$5,258,668.56 ","$128,311.51 ",1.15,180,88,14%,1999,0
Commercial Real Estate,ABC1000302,Multifamily residential,1/1/17,9,"$2,824,261.36 ",4.85%,"$3,667,871.90 ","$233,643.44 ",1.71,60,51,12%,2006,0
Commercial Real Estate,ABC1000303,Multifamily residential,1/1/13,9,"$1,243,240.80 ",5.95%,"$1,726,723.33 ","$112,409.69 ",1.52,60,2,6%,1997,0
Commercial Real Estate,ABC1000304,Multifamily residential,1/1/15,10,"$7,531,190.53 ",4.32%,"$10,607,310.61 ","$336,251.75 ",1.03,120,15,40%,1996,0
Commercial Real Estate,ABC1000305,Retail space,1/1/14,9,"$3,607,953.99 ",5.75%,"$5,228,918.82 ","$323,147.18 ",1.56,120,73,36%,1995,0
Commercial Real Estate,ABC1000306,Office building,1/1/11,8,"$5,872,226.81 ",4.77%,"$8,270,741.99 ","$529,327.49 ",1.89,60,54,30%,1998,0
Commercial Real Estate,ABC1000307,Office building,1/1/17,11,"$21,019,330.70 ",4.85%,"$25,023,012.74 ","$1,491,371.56 ",1.46,120,74,3%,1995,0
Commercial Real Estate,ABC1000308,Retail space,1/1/11,10,"$550,620.55 ",5.72%,"$754,274.72 ","$38,845.15 ",1.23,120,106,2%,1997,0
Commercial Real Estate,ABC1000309,Multifamily residential,1/1/16,8,"$3,621,849.53 ",5.63%,"$5,841,692.79 ","$271,054.55 ",1.33,180,53,1%,2006,0
Commercial Real Estate,ABC1000310,Multifamily residential,1/1/12,10,"$8,647,543.72 ",4.17%,"$12,010,477.40 ","$428,774.04 ",1.19,60,52,30%,2006,1
Commercial Real Estate,ABC1000311,Office building,1/1/13,10,"$4,603,550.73 ",4.50%,"$6,138,067.64 ","$233,860.38 ",1.13,180,139,4%,2005,0
Commercial Real Estate,ABC1000312,Multifamily residential,1/1/12,4,"$1,451,385.70 ",5.16%,"$2,845,854.31 ","$217,138.68 ",2.9,120,89,2%,2007,0
Commercial Real Estate,ABC1000313,Office building,1/1/13,7,"$3,589,082.34 ",5.43%,"$5,607,941.16 ","$358,908.23 ",1.84,60,46,12%,2008,0
Commercial Real Estate,ABC1000314,Multifamily residential,1/1/16,7,"$1,124,352.32 ",5.29%,"$1,729,772.80 ","$137,170.98 ",2.31,60,29,11%,2002,0
Commercial Real Estate,ABC1000315,Multifamily residential,1/1/15,10,"$13,981,568.51 ",4.74%,"$18,157,881.18 ","$1,020,472.92 ",1.54,60,53,9%,2006,1
Commercial Real Estate,ABC1000316,Multifamily residential,1/1/19,7,"$4,819,702.42 ",5.00%,"$7,193,585.69 ","$504,270.36 ",2.09,120,83,12%,2004,0
Commercial Real Estate,ABC1000317,Office building,1/1/16,9,"$2,990,958.96 ",4.18%,"$4,212,618.26 ","$213,579.75 ",1.71,180,1,4%,2001,1
Commercial Real Estate,ABC1000318,Multifamily residential,1/1/11,7,"$5,074,813.10 ",5.02%,"$8,185,182.41 ","$399,436.90 ",1.57,180,25,2%,2003,0
Commercial Real Estate,ABC1000319,Retail space,1/1/19,8,"$499,238.50 ",4.85%,"$693,386.81 ","$56,580.36 ",2.34,60,44,10%,2000,0
Commercial Real Estate,ABC1000320,Retail space,1/1/14,8,"$6,575,088.62 ",4.30%,"$9,392,983.74 ","$533,521.48 ",1.89,120,27,9%,2006,0
Commercial Real Estate,ABC1000321,Multifamily residential,1/1/14,6,"$1,436,206.81 ",4.27%,"$2,112,068.84 ","$184,594.82 ",3.01,60,2,13%,2005,0
